Date,Site H500 DC Energy (kWh),H500 AC Energy Expected (kWh),H500 AC Energy (kWh),H500 Downtime Loss (kWh),H500 Shading Loss (kWh),H500 Soiling Loss (kWh),H500 clipping_loss,H500 clipping_loss_pct,Site H600 DC Energy (kWh),H600 AC Energy Expected (kWh),H600 AC Energy (kWh),H600 Downtime Loss (kWh),H600 Shading Loss (kWh),H600 Soiling Loss (kWh),H600 clipping_loss,H600 clipping_loss_pct,Site H700 DC Energy (kWh),H700 AC Energy Expected (kWh),H700 AC Energy (kWh),H700 Downtime Loss (kWh),H700 Shading Loss (kWh),H700 Soiling Loss (kWh),H700 clipping_loss,H700 clipping_loss_pct,Site H800 DC Energy (kWh),H800 AC Energy Expected (kWh),H800 AC Energy (kWh),H800 Downtime Loss (kWh),H800 Shading Loss (kWh),H800 Soiling Loss (kWh),H800 clipping_loss,H800 clipping_loss_pct,SB DC Energy (kWh),SB AC Energy Expected (kWh),SB AC Energy (kWh),SB Downtime Loss (kWh),SB Shading Loss (kWh),SB Soiling Loss (kWh),SB clipping_loss,SB clipping_loss_pct,STAAC DC Energy (kWh),STAAC AC Energy Expected (kWh),STAAC AC Energy (kWh),STAAC Downtime Loss (kWh),STAAC Shading Loss (kWh),STAAC Soiling Loss (kWh),STAAC clipping_loss,STAAC clipping_loss_pct
04/16/19,1899.644333,1924.048275,1863.363917,28.73236614,0,30.05010794,0,0,1585.97125,1560.852359,1553.757167,0,0,25.07071752,0,0,2255.255667,2207.048613,2217.299083,0,0,40.93727765,0,0,1194.88575,1184.081161,1170.646083,0,0,20.46606624,0,0,920.308,915.0854477,901.4658333,0,0,9.424289836,0,0,1520.344,1501.962048,1488.536583,0,1.512036038,40.30881833,0,0
04/17/19,2028.175083,2048.531848,1991.047333,31.13547273,0.233286531,52.22623469,0,0,1686.313083,1714.064805,1653.493917,0,0,32.5631326,0,0,2422.656333,2458.003303,2383.424,0,0,56.11741032,0,0,1268.96175,1261.56086,1244.638417,0,0.101023272,32.81006947,0,0,968.0871667,980.1601775,949.0876667,0,0,25.29273362,0,0,1606.519833,1647.543375,1573.92775,0,1.028801239,38.85757399,0,0
04/18/19,1867.39975,1895.570519,1831.600583,29.98328058,0,51.84863951,0,0,1602.804833,1585.708789,1570.066,0,0,28.40029858,0,0,2267.661417,2270.390598,2229.458083,0,0,47.10923309,0,0,1187.471333,1168.085728,1163.54725,0,0.594171603,27.39205627,0,0,946.5699167,932.8905232,927.4721667,0,0.1132199,11.13908558,0,0,1555.731667,1537.952697,1522.2165,0,0,48.23701352,0,0
04/19/19,1625.773,1647.358473,1593.622083,24.89939631,0,45.37780225,0,0,1375.109583,1366.054099,1346.4665,0,0.156846951,31.59868063,0,0,1943.077083,1921.625142,1909.76125,0,0,49.4902867,0,0,1024.895917,1012.100757,1003.646167,0,0.101078703,26.12279183,0,0,784.418,770.4696405,768.1935833,0,0,9.671092826,0,0,1300.70225,1271.983884,1272.434833,0,1.07390774,55.8595353,0,0
04/20/19,933.9575833,943.8637447,914.7294167,13.43806382,0,3.062936948,0,0,784.9895833,781.8519163,767.6659167,0,0.713024669,13.0462317,0,0,1113.1955,1102.902593,1091.980917,0,0,6.962331573,0,0,593.0674167,586.7683396,579.87775,0,0.891626454,3.538338634,0,0,452.1774167,448.8100757,442.2564167,0,0,2.444128388,0,0,746.26775,744.1908346,729.33325,0,0.243702575,15.96593964,0,0
04/21/19,1720.487417,1738.282894,1688.921167,25.87346963,0,17.30209439,0,0,1436.3715,1441.762022,1408.475833,0,1.593527438,19.42450623,0,0,2047.996917,2059.301583,2015.315417,0,0.124137074,11.27335507,0,0,1082.547583,1083.408101,1061.501833,0,1.143235768,8.759561017,0,0,818.6670833,817.0912712,802.6065833,0,0,6.068025591,0,0,1358.627,1374.752592,1331.41275,0,0.831821632,21.20427942,0,0
04/22/19,1321.43,1340.026725,1297.335833,18.82159583,0,6.107238707,0,0,1121.49375,1121.92166,1098.723917,0,0,3.710447527,0,0,1596.348333,1572.669408,1569.504583,0,0,0.566910205,0,0,839.66275,832.5059381,823.2083333,0,0.155560995,3.025745203,0,0,644.1799167,631.3520978,631.1250833,0,0,0.327242876,0,0,1056.109833,1045.26747,1034.101,0,0,8.09964552,0,0
04/23/19,833.2044167,866.777868,816.2224167,12.34143485,0,17.43929887,0.266989806,0.032043734,705.3765,719.9086931,689.278,0,0.576630078,10.03022739,0,0,1002.568917,1007.068958,983.1948333,0,0,9.080063169,0,0,527.99425,537.0521544,516.1395,0,0.228079304,6.943082054,0,0,413.3699167,412.9666746,404.3699167,0,0.302413326,0.812397717,0,0,668.8224167,677.9885913,653.4885833,0,2.124547964,17.33069788,0,0
04/24/19,1147.75825,1161.084024,1126.630417,16.18901461,0,4.132965554,0,0,973.8135833,972.5762178,954.08125,0,0,0.857947381,0,0,1378.929167,1367.975332,1355.962583,0,0,1.567352549,0,0,730.89675,723.5667052,716.3511667,0,0,0.787641982,0,0,559.7715833,554.8823259,548.6234167,0,0,1.024497912,0,0,924.78025,919.4875102,906.0280833,0,0,1.066137301,0,0
04/25/19,921.3709167,929.935514,902.69625,14.99692516,1.70006963,6.086145706,0,0,798.1235,811.0233986,780.3816667,0,0,28.38946439,0,0,1108.920583,1105.300114,1087.831333,0,32.86116465,14.4021433,0,0,601.54375,603.992416,588.3295833,0,0.571638409,20.49539276,0,0,483.1634167,489.1934679,472.78575,0,0,10.00727692,0,0,787.6471667,801.1471074,770.56625,0,0.196266407,39.09083106,0,0
04/26/19,282.5781667,288.8334543,272.0710833,3.390217043,0,1.841117807,0,0,239.4521667,243.0077507,229.278,0,0,8.353220893,0,0,339.8275833,342.2976427,326.92375,0,0,4.345417972,0,0,180.2345833,180.4012077,172.8986667,0,0,6.015734129,0,0,139.4143333,139.8530598,134.33175,0,0,2.751792517,0,0,226.5765833,231.0124293,217.3904167,0,0,11.00592495,0,0
04/27/19,1157.977833,1181.657425,1136.065583,16.40117106,4.693951068,2.459468904,0,0,977.7398333,985.1882233,957.1250833,0,0.293950912,0.811335487,0,0,1384.6865,1392.947307,1360.384583,0,0,0.794111809,0,0,734.408,735.2915794,719.1521667,0,0,0.513701465,0,0,556.8320833,558.5209437,545.4980833,0,1.187668408,0.931502694,0,0,923.5975,943.2335413,904.0640833,0,0,0.051028235,0,0
04/28/19,1929.243167,1945.626297,1894.451333,28.67375079,0,15.84412296,0.186069905,0.00964471,1626.382917,1609.541165,1595.142583,0,0,5.393347857,0,0,2301.068083,2260.635493,2264.766917,0,0,15.08468485,0.203075891,0.008825288,1224.053167,1212.401311,1200.30175,0,0,5.509450117,0,0,933.026,925.2219125,915.0903333,0,0.194528458,3.659332587,0,0,1548.619667,1533.412461,1517.710083,0,0,1.003695996,0,0
04/29/19,1645.304,1678.994776,1614.659333,24.08578563,0,1.290104332,0,0,1384.6445,1357.091867,1356.85475,0,2.999696677,8.634498915,0,0,1966.973333,1953.73868,1934.197,0,0,4.461125189,0,0,1039.506833,1031.389308,1018.446917,0,1.366952236,2.001142752,0,0,798.3515,781.2456595,782.1388333,0,0,1.286705674,0,0,1312.451,1281.255871,1285.240833,0,0.632341359,28.52072583,0,0
04/30/19,1152.05525,1179.11971,1129.7885,16.9850443,0,0.155970304,4.716211702,0.409373743,988.8645833,979.9075775,967.8325,0,0.935663219,2.925254244,0,0,1393.344833,1380.395118,1368.368,0,0,0.654063338,0,0,736.33375,737.3543963,720.7484167,0,0.912950687,0.913054406,0.608391473,0.082624418,568.7505,566.7334373,557.0025833,0,0.11490796,0.080126853,2.052894716,0.360948204,934.8961667,934.5497946,914.92225,0,0,7.333718089,0.858621105,0.091841333
05/01/19,1252.182667,1274.793367,1229.382417,17.97330507,0,0.03113146,0.987163734,0.078835442,1059.283083,1055.328322,1037.82425,0,0,0.791089002,0,0,1502.252083,1503.754785,1477.61325,0,0,0,0,0,792.39,783.5470973,776.30025,0,0,1.460797716,0,0,604.1560833,601.6262851,592.2709167,0,0,0.322228077,0,0,996.5920833,991.9318087,975.8731667,0,0,0.882282378,0,0
05/02/19,1031.527,1049.159042,1009.8375,15.46345246,0.239611257,23.30087755,0,0,890.9924167,884.3544793,870.4250833,0,0,12.20316072,0,0,1261.347417,1247.34696,1237.081,0,0,12.60683294,0,0,657.7585833,643.7611711,642.6595833,0,0.516294828,14.67465303,0,0,525.5173333,513.0409837,513.9139167,0,0,0,0,0,855.5953333,851.1729051,835.5394167,0,0,10.55064293,0,0
05/03/19,1188.035583,1223.683021,1165.28475,17.13475617,0,9.482521235,0,0,1001.861167,1010.168126,981.4585,0,1.292169587,10.86248826,0,0,1428.54725,1451.790528,1403.329333,0,0,4.487697367,0,0,750.65675,753.125767,734.9863333,0,0.27937158,8.785659093,0,0,575.9964167,571.5789581,564.0909167,0,0,0.450082225,0,0,940.062,947.1786665,920.0846667,0,1.4807478,25.07805974,0,0
05/04/19,1034.294417,1048.997659,1015.013,14.87277284,0.562947254,20.65662721,0,0,879.4916667,871.3373967,861.2275,0,1.406931949,11.25405245,0,0,1244.81425,1232.909862,1222.878417,0,0,17.22421195,0,0,661.9129167,650.5967272,648.1626667,0,0.482916329,11.30982689,0,0,516.9189167,510.2585492,506.33475,0,0,3.071865852,0,0,848.02225,842.8224411,830.5444167,0,4.821579459,15.99568944,0,0
05/05/19,1595.167417,1676.473346,1566.20325,24.09398844,0,19.36889771,0,0,1313.287083,1369.709567,1287.576333,6.912866506,0.640168947,24.18509047,0,0,1919.156167,1958.698657,1887.416167,0,0,25.46411085,0,0,1016.707167,1042.31129,996.83175,0,0.185110583,14.62028739,0,0,775.92925,793.2360226,760.8464167,0,0.393130814,10.97742248,0,0,1277.245333,1326.4814,1251.101917,0,0.915140017,20.37292593,0,0
05/06/19,2184.531417,2260.082757,2143.6425,33.2727376,0,49.6003435,0,0,1828.136917,1823.743071,1791.79375,2.74853705,1.708466251,33.20853362,0,0,2628.960417,2578.964883,2585.0535,0,0,57.95080572,0,0,1386.24275,1402.866188,1359.724417,0,0,29.78786261,0,0,1061.964167,1041.777906,1041.03925,0,0,29.17183885,0,0,1758.155667,1782.979251,1721.938917,0,0.365733194,35.90378437,0,0
